Airline,Source,Destination,Additional_Info_upd,Duration_mins,Total_Stops_upd,Price
IndiGo,Banglore,New Delhi,0,170,0,3897
Air India,Kolkata,Banglore,0,445,2,7662
Jet Airways,Delhi,Cochin,0,1140,2,13882
IndiGo,Kolkata,Banglore,0,325,1,6218
IndiGo,Banglore,New Delhi,0,285,1,13302
SpiceJet,Kolkata,Banglore,0,145,0,3873
Jet Airways,Banglore,New Delhi,1,930,1,11087
Jet Airways,Banglore,New Delhi,0,1265,1,22270
Jet Airways,Banglore,New Delhi,1,1530,1,11087
Multiple carriers,Delhi,Cochin,0,470,1,8625
Air India,Delhi,Cochin,0,795,1,8907
IndiGo,Kolkata,Banglore,0,155,0,4174
Air India,Chennai,Kolkata,0,135,0,4667
Jet Airways,Kolkata,Banglore,1,730,1,9663
IndiGo,Kolkata,Banglore,0,155,0,4804
Air India,Delhi,Cochin,0,1595,2,14011
SpiceJet,Delhi,Cochin,0,270,1,5830
Jet Airways,Delhi,Cochin,1,1355,1,10262
Air India,Delhi,Cochin,0,1380,2,13381
Jet Airways,Delhi,Cochin,1,1235,1,12898
GoAir,Delhi,Cochin,0,310,1,19495
Air India,Banglore,New Delhi,0,920,1,6955
IndiGo,Banglore,Delhi,0,170,0,3943
IndiGo,Banglore,Delhi,0,175,0,4823
Jet Airways,Kolkata,Banglore,1,800,1,7757
Jet Airways,Delhi,Cochin,0,910,2,13292
IndiGo,Delhi,Cochin,0,345,1,8238
GoAir,Delhi,Cochin,0,355,1,7682
Vistara,Banglore,Delhi,0,170,0,4668
Vistara,Chennai,Kolkata,0,135,0,3687
Vistara,Chennai,Kolkata,0,135,0,3687
Air India,Kolkata,Banglore,0,805,2,13227
IndiGo,Banglore,Delhi,0,170,0,4423
Jet Airways,Delhi,Cochin,1,1320,2,10919
Jet Airways,Delhi,Cochin,1,330,1,12373
IndiGo,Delhi,Cochin,0,625,1,5894
SpiceJet,Kolkata,Banglore,0,315,1,4649
Air India,Kolkata,Banglore,0,150,0,6245
Jet Airways,Banglore,New Delhi,0,375,1,19225
Jet Airways,Delhi,Cochin,0,715,1,14924
Multiple carriers,Delhi,Cochin,0,665,1,9646
Air India,Banglore,New Delhi,0,510,1,8714
Jet Airways,Delhi,Cochin,1,1325,1,12373
Air Asia,Banglore,Delhi,0,165,0,3383
Multiple carriers,Delhi,Cochin,0,720,1,13062
SpiceJet,Banglore,New Delhi,1,170,0,3527
IndiGo,Banglore,Delhi,0,170,0,3943
Air India,Chennai,Kolkata,0,135,0,4667
Air India,Kolkata,Banglore,0,965,1,6117
Jet Airways,Delhi,Cochin,1,1195,2,11150
Jet Airways,Delhi,Cochin,1,195,0,7202
Jet Airways,Kolkata,Banglore,0,1520,1,12121
IndiGo,Banglore,New Delhi,0,170,0,4377
IndiGo,Banglore,Delhi,0,180,0,3943
Air Asia,Banglore,Delhi,0,170,0,4483
Jet Airways,Kolkata,Banglore,0,975,1,14231
Air India,Banglore,New Delhi,0,905,2,17345
Vistara,Chennai,Kolkata,0,135,0,7414
Multiple carriers,Delhi,Cochin,0,390,1,8073
Vistara,Mumbai,Hyderabad,0,1505,1,12395
Air India,Kolkata,Banglore,0,745,1,8366
Air India,Delhi,Cochin,0,1640,1,5117
Multiple carriers,Delhi,Cochin,0,615,1,12524
IndiGo,Delhi,Cochin,0,630,1,7191
Vistara,Chennai,Kolkata,0,135,0,3687
IndiGo,Delhi,Cochin,0,625,1,5894
Vistara,Banglore,Delhi,0,170,0,5403
Air India,Mumbai,Hyderabad,0,90,0,3625
Air India,Delhi,Cochin,0,800,2,10861
IndiGo,Chennai,Kolkata,0,135,0,6297
Jet Airways,Mumbai,Hyderabad,0,85,0,5678
Jet Airways,Banglore,New Delhi,1,1590,1,9134
Multiple carriers,Delhi,Cochin,1,440,1,10791
Jet Airways,Delhi,Cochin,0,810,2,12819
IndiGo,Delhi,Cochin,0,300,1,6893
Vistara,Banglore,New Delhi,0,165,0,7240
GoAir,Banglore,Delhi,0,170,0,3898
IndiGo,Mumbai,Hyderabad,0,90,0,4049
Jet Airways,Delhi,Cochin,1,1145,1,10262
SpiceJet,Chennai,Kolkata,1,135,0,3332
Jet Airways,Kolkata,Banglore,1,890,1,10844
Jet Airways,Banglore,New Delhi,0,160,0,7229
Jet Airways,Kolkata,Banglore,0,1330,1,13941
IndiGo,Delhi,Cochin,0,575,1,5894
Multiple carriers,Delhi,Cochin,0,600,1,10197
Jet Airways,Banglore,New Delhi,1,1280,1,13712
IndiGo,Delhi,Cochin,0,325,1,5636
Jet Airways,Delhi,Cochin,0,1125,2,13014
Jet Airways,Kolkata,Banglore,1,740,1,7064
Jet Airways,Kolkata,Banglore,1,1080,1,10703
Multiple carriers,Delhi,Cochin,0,555,1,9646
Multiple carriers,Delhi,Cochin,0,665,1,17057
Jet Airways,Banglore,New Delhi,0,1050,1,13817
Air India,Delhi,Cochin,0,800,2,13748
Air India,Kolkata,Banglore,0,155,0,4880
IndiGo,Chennai,Kolkata,0,145,0,3540
SpiceJet,Banglore,Delhi,1,160,0,3257
Jet Airways,Banglore,Delhi,1,180,0,6478
Jet Airways,Mumbai,Hyderabad,0,85,0,8040
Jet Airways,Delhi,Cochin,0,995,2,14300
